Area,Centroid_1,Centroid_2,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,PerimeterOld,neg_red_mean,neg_blue_mean,y
87,210.6091954,814.3333333,205.5,796.5,10,33,30.22893973,8.246985016,0.962065792,89.68022355,182,89,-1,10.52482021,0.478021978,0.263636364,87.532,91.84062043,99.97701149,129.9655172,0
64,220,665.53125,215.5,655.5,9,19,21.07228585,6.641521718,0.949032562,82.83393299,120,68,-2,9.027033337,0.533333333,0.374269006,68.395,72.42640687,96.796875,130.328125,0
72,223.2777778,712.5138889,217.5,705.5,11,15,15.2386642,8.556408462,0.827481256,59.43823729,109,84,-11,9.57461473,0.660550459,0.436363636,50.118,52.52691193,79.26388889,118,0
71,223.2816901,797.5774648,217.5,789.5,11,17,17.80270831,10.79507552,0.79518061,81.12545164,145,81,-3,9.507891863,0.489655172,0.379679144,69.487,72.42640687,96.5915493,126.3661972,0
60,222.6666667,539.9833333,218.5,532.5,8,15,16.12479052,7.142052111,0.896559303,-87.902459,88,70,-7,8.740387445,0.681818182,0.5,37.456,39.21320344,78.56666667,116.4166667,0
69,225.3623188,683.7101449,222.5,670.5,5,27,28.82836744,5.524857893,0.981464003,-88.60128747,126,82,-1,9.373021316,0.547619048,0.511111111,73.555,77.11269837,108.4782609,135.1449275,0
1466,242.2230559,406.4072306,224.5,295.5,38,214,212.4490295,16.42792512,0.997005829,-81.29236118,3330,1662,-42,43.2038097,0.44024024,0.180275455,586.639,617.3279938,99.51637108,130.8581173,0
64,252.625,1000.953125,249.5,992.5,7,16,16.35965791,6.324010091,0.922263729,88.85923355,88,65,0,9.027033337,0.727272727,0.571428571,43.361,45.45584412,82.484375,113.6875,0
107,263.6635514,926.7476636,259.5,903.5,13,46,46.54554063,7.59265684,0.98660571,80.84149162,319,111,-3,11.67204486,0.335423197,0.178929766,107.686,114.3259018,100.5140187,130.9813084,0
205,275.8243902,985.2634146,261.5,952.5,23,55,51.6547699,11.84324407,0.973361246,-72.03392436,514,239,-13,16.15593101,0.398832685,0.162055336,156.581,165.8233765,106.8292683,129.5658537,0
59,273.7288136,954.9661017,264.5,949.5,16,12,16.94969985,8.332677852,0.870814288,-32.57013127,111,72,-4,8.667244841,0.531531532,0.307291667,61.937,64.08326112,92.08474576,125.2372881,0
77,299.974026,541.8311688,295.5,526.5,9,27,25.34936311,6.869789968,0.962578097,-77.7380688,138,91,-7,9.901487007,0.557971014,0.316872428,70.263,74.04163056,87.22077922,119.1818182,0
61,305.1311475,589.9344262,302.5,578.5,7,23,24.10696313,4.072694159,0.985625883,-77.00729057,88,61,1,8.812923024,0.693181818,0.378881988,53.211,55.9411255,96.31147541,120.7868852,0
54,328.7962963,372.9814815,324.5,365.5,7,14,13.55665016,5.97461082,0.897647384,-87.72819125,67,55,0,8.291859587,0.805970149,0.551020408,34.098,36.38477631,76.01851852,129.6851852,0
114,353.2982456,312.377193,344.5,304.5,17,16,21.45669167,7.411364689,0.938451729,-45.56449409,135,117,0,12.04779267,0.844444444,0.419117647,49.084,51.69848481,81.73684211,132.1403509,0
70,350.4714286,500.1142857,345.5,493.5,10,13,13.73180186,7.301425547,0.846922411,-64.45379721,81,72,-1,9.440697439,0.864197531,0.538461538,31.857,33.79898987,93.01428571,125.7428571,0
54,351.537037,547.2222222,346.5,543.5,10,10,10.02304863,8.856078616,0.468296561,-59.43790546,68,58,-3,8.291859587,0.794117647,0.54,33.445,35.21320344,78.12962963,121.3703704,0
91,352.4945055,603.1868132,347.5,591.5,11,20,21.01612307,8.89200374,0.906081169,-76.98276047,149,100,-6,10.76405122,0.610738255,0.413636364,74.738,79.01219331,86.93406593,128.1098901,0
